position	smiles	name
_Q3_neg_F7_	Cc1[nH]c2ccccc2c1CCNC(=O)c1cc(F)c(F)cc1Cl	zzz
_Q1_neg_E12_	Cc1[nH]c2ccccc2c1CCNC(=O)c1cc([N+](=O)[O-])ccc1Cl	zzz
_Q3_neg_D12_	COc1ccc2[nH]c(C)c(CCNC(=O)c3cc([N+](=O)[O-])ccc3Cl)c2c1	zzz
_Q2_neg_C6_	COc1cc(C(=O)OCc2ccccc2Cl)cc(OC)c1OC	zzz
_P5_neg_G4_	COc1cc(/C=C/C(=O)c2cn(C)nc2C)cc(OC)c1OC	zzz
_Q2_neg_D8_	Cn1c2ccccc2c2cc(/C=C/C(=O)c3ccc4ccccc4c3O)ccc21	zzz
_P5_neg_C2_	O=C(/C=C/c1ccccc1O)c1ccc(O)cc1O	zzz
_Q3_neg_B12_	COc1ccccc1/C=C/C(=O)c1ccc(O)cc1O	zzz
_Q2_neg_A11_	O=C(/C=C/c1ccc(O)cc1)c1ccc(O)cc1O	zzz
_P5_neg_A3_	O=C(/C=C/c1ccccc1)c1ccc(O)cc1O	zzz
_P5_neg_A4_	O=C(/C=C/c1ccccc1O)c1cc(O)ccc1O	zzz
_P5_neg_B1_	O=C(/C=C/c1ccc(O)cc1)c1cc(O)ccc1O	zzz
_P5_neg_C3_	O=C(/C=C/c1ccccc1)c1cc(O)ccc1O	zzz
_Q1_neg_B12_	O=C(/C=C/c1ccc2c(c1)OCO2)c1ccc2c(c1)OCCO2	zzz
_Q4_neg_D8_	COc1ccc(/C=C/C(=O)c2ccc3c(c2)OCCO3)cc1COc1ccccc1	zzz
_Q4_neg_D11_	COc1cccc(/C=C/C(=O)c2ccc3c(c2)OCO3)c1OC	zzz
_Q2_neg_H11_	COc1ccc(OC)c(/C=C/C(=O)c2ccc3c(c2)OCO3)c1	zzz
_Q4_neg_G11_	COc1ccccc1/C=C/C(=O)c1ccc2c(c1)OCO2	zzz
_Q2_neg_F7_	O=C(/C=C/c1cccs1)c1ccc2c(c1)OCO2	zzz
_Q2_neg_D11_	COc1ccc(/C=C/C(=O)c2ccc3c(c2)OCO3)cc1OC	zzz
_P5_neg_D4_	Cc1nn(-c2ccccc2)c(C)c1/C=C/C(=O)c1ccc2c(c1)OCO2	zzz
_Q1_neg_D11_	COc1cccc(/C=C/C(=O)c2ccc3c(c2)OCO3)c1	zzz
_Q2_neg_H11_	O=C(/C=C/c1cccc([N+](=O)[O-])c1)c1ccc2c(c1)OCO2	zzz
_P5_neg_F3_	Cc1ccc(/C=C/C(=O)c2ccc3c(c2)OCO3)s1	zzz
_Q3_neg_A11_	COc1ccc(C(=O)/C=C/c2ccccc2)c(O)c1	zzz
_P5_neg_G2_	Cc1ccc(O)c(C(=O)/C=C/c2ccccc2)c1	zzz
_P5_neg_D4_	O=C(/C=C/c1cccc(O)c1)c1ccccc1O	zzz
_P5_neg_A2_	CCCCOc1ccc(C(=O)/C=C/c2ccc(Cl)cc2Cl)cc1OCCCC	zzz
_Q3_neg_E12_	COc1ccc(/C=C/C(=O)c2ccc(O)cc2C)cc1	zzz
_P5_neg_C4_	O=C(/C=C/c1ccccc1)c1ccc(O)cc1	zzz
_Q4_neg_G12_	O=C(/C=C/c1ccccc1O)c1ccccc1O	zzz
_Q2_neg_H8_	COc1ccc(C2c3[nH]c4ccccc4c3CCN2C(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)cc1	zzz
_Q1_neg_C9_	COc1ccc(C2c3[nH]c4ccccc4c3CCN2C(=O)/C=C/c2ccccc2)cc1	zzz
_Q3_neg_C9_	COc1ccc(C2C3CCCCC3(O)CCN2C(=O)/C=C/c2ccc(C(C)C)cc2)c(OC)c1	zzz
_Q2_neg_E8_	CCOc1ccccc1C1C2CCCCC2(O)CCN1C(=O)/C=C/c1ccc(OC)cc1	zzz
_Q4_neg_A9_	CC(C)c1ccc(/C=C/C(=O)N2CCC3(O)CCCCC3C2c2ccc(F)cc2)cc1	zzz
_Q2_neg_F9_	CCN(CC)c1ccc(C2C3CCCCC3(O)CCN2C(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)cc1	zzz
_Q2_neg_A8_	CCN(CC)c1ccc(C2C3CCCCC3(O)CCN2C(=O)/C=C/c2ccc(OC)c(OC)c2)cc1	zzz
_Q4_neg_E9_	CCN(CC)c1ccc(C2C3CCCCC3(O)CCN2C(=O)/C=C/c2ccc(OC)cc2)cc1	zzz
_Q1_neg_A10_	CCN(CC)c1ccc(C2C3CCCCC3(O)CCN2C(=O)/C=C/c2ccc(C(C)C)cc2)cc1	zzz
_Q1_neg_C9_	COc1ccc(/C=C/C(=O)C2CC2)cc1COc1ccc([N+](=O)[O-])cc1	zzz
_Q3_neg_C12_	O=C(/C=C/c1ccc([N+](=O)[O-])cc1)c1cccc2ccccc12	zzz
_Q2_neg_H5_	CC(=O)N/C(=C/c1ccccc1)C(=O)NCc1ccco1	zzz
_Q2_neg_F11_	O=C(O)/C(=C/c1ccccc1)c1ccccc1	zzz
_Q3_neg_B8_	N#C/C(=C\c1ccc(N2CCOCC2)o1)C(=O)NCCc1c[nH]c2ccccc12	zzz
_Q3_neg_D11_	C/C(=C\c1ccccc1)C(=O)O	zzz
_Q1_neg_G9_	CCn1cc(/C=C/C(=O)c2ccc(O)cc2)c(C)n1	zzz
_Q1_neg_A6_	O=C(/C=C/c1ccc(Cl)cc1Cl)c1ccc(Br)cc1	zzz
_Q4_neg_E5_	Cc1ccc(C(=O)/C=C/c2ccc(Cl)cc2Cl)cc1	zzz
_Q3_neg_D6_	CC(C)(C)c1ccc(C(=O)/C=C/c2ccc(Cl)cc2Cl)cc1	zzz
_Q1_neg_E6_	O=C(/C=C/c1ccc(Cl)cc1Cl)c1cccc2ccccc12	zzz
_Q1_neg_G9_	O=C(/C=C/c1c(Cl)cccc1Cl)c1ccc2ccccc2c1O	zzz
_Q2_neg_F9_	O=C(O)/C=C/c1c(Cl)cccc1Cl	zzz
_Q3_neg_C8_	O=C(O)/C=C/c1cc([N+](=O)[O-])ccc1Cl	zzz
_Q1_neg_E11_	COc1cc(OC)c(C(=O)/C=C/c2ccccc2Cl)c(OC)c1	zzz
_Q2_neg_H12_	N#Cc1ccccc1/C=C/C(=O)O	zzz
